PlayerName,Edad,Goles,Asistencias,Tarjetas_Amarilla,Tarjetas_Roja,PasesCompletados,PasesIntentados,Pct_PasesCompletados,PasesUltTercioCampo,PasesClave,PasesCruzados,PasesCambioDeBanda,xG,npxG,xA,xG_90Min,xA_90Min
Stanislav Lobotka,22,0,0,2,0,1858,2065,90,169,10,6,52,0.3,0.3,0.5,0.01,0.01
Daniel Wass,28,4,8,3,0,1250,1667,75,116,56,97,63,4.4,4.4,5,0.13,0.15
Pione Sisto,22,5,7,2,0,876,1091,80.3,65,42,56,50,3.8,3.8,4.6,0.13,0.16
Fabinho,23,7,3,8,0,1680,1976,85,210,34,9,65,5.5,2.4,3.7,0.16,0.11
Rony Lopes,21,15,6,2,0,579,841,68.8,40,39,82,18,9.8,9.8,5.5,0.35,0.19
João Moutinho,30,1,4,6,0,1629,1988,81.9,219,57,73,61,1,1,5.5,0.03,0.18
Fabián Ruiz Peña,21,3,6,3,0,1806,2119,85.2,179,29,15,64,2,2,2.2,0.07,0.07
Joaquín,36,4,7,7,0,1085,1312,82.7,71,50,45,46,2.7,2.7,5,0.1,0.18
Javi García,30,1,0,7,0,1483,1631,90.9,87,10,0,30,1.2,1.2,0.3,0.04,0.01
Cristian Tello,25,4,1,2,0,555,720,77.1,31,25,27,19,2.8,2.8,2.7,0.15,0.15
Martin Olsson,29,0,1,7,0,1073,1547,69.4,58,13,125,51,0.9,0.9,1,0.02,0.03
Jordan Ayew,25,7,2,2,1,696,881,79,24,14,38,14,6.3,5.5,1.2,0.2,0.04
Tom Carroll,25,0,4,3,0,1207,1537,78.5,165,47,76,82,1,1,3.9,0.04,0.14
Tammy Abraham,19,5,1,0,0,208,309,67.3,19,10,11,7,6.3,6.3,0.7,0.33,0.04
Renaud Cohade,32,1,3,5,0,1511,1991,75.9,204,47,55,92,1.2,1.2,3.9,0.03,0.11
Nolan Roux,29,15,2,8,0,527,772,68.3,31,26,23,28,9.6,8.8,1.8,0.3,0.06
Aaron Mooy,26,4,3,4,0,1547,2070,74.7,159,49,90,94,2.5,1.7,3.9,0.07,0.11
Tom Ince,25,2,0,0,0,555,733,75.7,33,18,26,19,7.2,7.2,1.4,0.26,0.05
Rajiv van La Parra,26,3,0,3,1,521,727,71.7,24,16,50,12,3.5,2.7,1.2,0.15,0.05
