Age;90s;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Lost;Blocks;Sh;Pass;Int;Tkl+Int;Clr;Err
27-225;1.0;2;1;0;1;1;1;2;50.0;1;5;0;5;1;3;2;0
28-115;1.0;3;2;2;1;0;1;4;25.0;3;1;0;1;0;3;0;0
23-359;1.0;5;3;0;2;3;2;5;40.0;3;0;0;0;0;5;2;0
31-324;1.0;3;3;1;0;2;1;3;33.3;2;0;0;0;1;4;2;0
29-016;1.0;2;0;1;1;0;1;1;100.0;0;2;1;1;1;3;4;0
30-245;1.0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0
21-236;1.0;4;3;0;3;1;3;3;100.0;0;3;0;3;1;5;1;0
23-237;1.0;8;2;4;2;2;3;4;75.0;1;2;0;2;3;11;2;0
38-204;0.9;0;0;0;0;0;0;0;;0;1;0;1;3;3;4;0
32-105;0.7;2;2;0;1;1;1;2;50.0;1;1;0;1;1;3;0;0
34-005;0.7;0;0;0;0;0;0;1;0.0;1;1;0;1;0;0;0;0
20-070;0.3;1;1;0;0;1;0;0;;0;0;0;0;0;1;1;0
24-061;0.3;1;0;0;1;0;1;1;100.0;0;0;0;0;2;3;0;0
30-145;0.1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0
