Age;90s;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Ast;xAG;xA;A-xAG;KP;1/3;PPA;CrsPA;PrgP
27-225;1.0;30;40;75.0;464;164;17;19;89.5;7;12;58.3;4;6;66.7;0;0.0;0.1;0.0;0;2;1;0;3
28-115;1.0;19;36;52.8;210;44;11;21;52.4;5;9;55.6;0;1;0.0;0;0.0;0.1;0.0;1;0;0;0;3
23-359;1.0;33;44;75.0;468;245;21;24;87.5;10;15;66.7;2;2;100.0;0;0.0;0.1;0.0;1;7;2;0;7
31-324;1.0;40;45;88.9;622;222;23;25;92.0;12;13;92.3;4;4;100.0;0;0.0;0.0;0.0;0;2;0;0;3
29-016;1.0;31;42;73.8;657;264;11;14;78.6;13;17;76.5;7;11;63.6;0;0.0;0.0;0.0;0;1;0;0;1
30-245;1.0;21;32;65.6;606;497;6;6;100.0;6;6;100.0;9;20;45.0;0;0.0;0.0;0.0;0;1;0;0;0
21-236;1.0;13;17;76.5;165;70;9;10;90.0;3;3;100.0;0;1;0.0;0;0.2;0.2;-0.2;2;1;2;0;3
23-237;1.0;36;47;76.6;686;273;20;26;76.9;12;14;85.7;4;5;80.0;0;0.0;0.2;0.0;0;1;1;1;3
38-204;0.9;39;50;78.0;957;468;7;10;70.0;21;23;91.3;11;17;64.7;0;0.0;0.0;0.0;1;4;0;0;7
32-105;0.7;25;26;96.2;336;115;12;12;100.0;10;10;100.0;0;1;0.0;0;0.0;0.0;0.0;0;4;0;0;3
34-005;0.7;19;25;76.0;368;144;5;7;71.4;9;9;100.0;4;6;66.7;1;0.1;0.1;+0.9;2;3;3;0;6
20-070;0.3;6;10;60.0;56;5;5;8;62.5;1;2;50.0;0;0;;0;0.0;0.0;0.0;0;0;0;0;0
24-061;0.3;11;15;73.3;196;61;2;4;50.0;7;8;87.5;1;1;100.0;0;0.1;0.0;-0.1;2;3;0;0;3
30-145;0.1;1;2;50.0;36;30;0;1;0.0;0;0;;1;1;100.0;0;0.0;0.0;0.0;0;1;0;0;0
