Rk;90s;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Lost;Blocks;Sh;Pass;Int;Tkl+Int;Clr;Err
1;20.9;49;25;32;15;2;28;52;53.8;24;25;10;15;25;74;57;0
2;6.5;19;11;8;11;0;4;16;25.0;12;6;2;4;10;29;2;0
3;10.0;6;4;2;4;0;4;7;57.1;3;12;8;4;8;14;36;1
4;33.0;0;0;0;0;0;0;0;;0;0;0;0;1;1;13;2
5;11.2;34;19;9;23;2;17;35;48.6;18;13;4;9;17;51;17;0
6;9.0;0;0;0;0;0;0;0;;0;1;0;1;0;0;8;3
7;2.4;8;6;6;2;0;3;4;75.0;1;1;1;0;1;9;11;1
8;7.9;21;14;8;12;1;9;15;60.0;6;9;7;2;4;25;19;0
9;0.5;1;1;1;0;0;1;2;50.0;1;1;1;0;0;1;0;0
10;11.5;12;5;8;3;1;9;17;52.9;8;8;6;2;14;26;42;2
11;12.7;16;12;5;7;4;6;18;33.3;12;7;0;7;7;23;12;0
12;15.6;43;28;27;16;0;26;41;63.4;15;13;1;12;36;79;38;0
13;15.8;27;17;17;10;0;11;22;50.0;11;16;6;10;39;66;56;0
14;22.3;12;9;2;8;2;3;8;37.5;5;8;1;7;3;15;17;0
15;4.6;9;5;4;3;2;2;13;15.4;11;4;0;4;5;14;5;0
16;8.6;6;3;1;4;1;0;2;0.0;2;8;1;7;2;8;4;0
17;1.4;3;2;0;3;0;2;3;66.7;1;1;0;1;0;3;2;0
18;19.1;20;10;14;6;0;12;18;66.7;6;22;15;7;27;47;72;1
19;29.2;84;51;43;31;10;45;72;62.5;27;39;9;30;28;112;46;0
20;17.0;0;0;0;0;0;0;0;;0;0;0;0;1;1;8;1
21;2.0;0;0;0;0;0;0;0;;0;0;0;0;0;0;3;0
22;16.0;16;9;9;7;0;9;17;52.9;8;16;3;13;18;34;41;0
23;1.6;5;3;5;0;0;3;6;50.0;3;1;0;1;2;7;10;0
24;15.0;48;38;27;16;5;30;49;61.2;19;13;4;9;19;67;30;0
25;1.4;1;1;1;0;0;0;2;0.0;2;1;0;1;1;2;0;0
26;3.1;3;1;1;1;1;2;4;50.0;2;4;1;3;3;6;12;0
27;12.4;21;9;13;7;1;9;22;40.9;13;14;7;7;17;38;55;3
28;0.2;1;1;1;0;0;0;1;0.0;1;0;0;0;0;1;0;0
29;10.3;27;18;19;7;1;12;22;54.5;10;11;5;6;19;46;25;0
30;1.0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0
31;7.9;14;11;6;8;0;6;14;42.9;8;9;3;6;6;20;8;0
32;26.8;58;36;22;33;3;25;56;44.6;31;28;4;24;19;77;18;0
33;5.2;7;3;3;4;0;3;5;60.0;2;3;2;1;8;15;16;0
34;5.3;13;9;5;4;4;9;11;81.8;2;11;3;8;6;19;14;0
35;31.4;65;33;35;24;6;31;57;54.4;26;33;11;22;47;112;43;0
36;3.1;3;2;1;1;1;1;4;25.0;3;4;1;3;1;4;3;0
37;3.7;3;2;1;2;0;1;6;16.7;5;2;0;2;0;3;2;0
38;12.5;20;14;6;12;2;9;23;39.1;14;4;0;4;8;28;3;0
39;23.6;46;27;22;18;6;22;46;47.8;24;13;6;7;16;62;56;0
40;25.0;0;0;0;0;0;0;0;;0;0;0;0;0;0;12;3
41;0.7;4;2;0;3;1;1;2;50.0;1;3;2;1;0;4;1;0
42;1.4;4;2;2;2;0;1;1;100.0;0;1;1;0;0;4;8;0
43;23.0;70;37;33;28;9;36;60;60.0;24;23;6;17;27;97;57;0
44;0.3;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0
45;1.7;3;1;2;1;0;2;3;66.7;1;1;1;0;1;4;1;0
46;2.3;;0;;;;;;;;;;;0;;;
47;5.6;10;7;1;5;4;6;18;33.3;12;8;0;8;7;17;2;0
48;0.5;2;2;1;1;0;2;3;66.7;1;0;0;0;0;2;0;0
49;12.9;22;11;12;8;2;9;20;45.0;11;21;7;14;19;41;39;0
50;17.0;0;0;0;0;0;0;1;0.0;1;0;0;0;0;0;6;0
51;8.0;0;0;0;0;0;0;0;;0;1;0;1;0;0;6;1
52;28.9;32;22;10;17;5;17;43;39.5;26;35;2;33;12;44;16;0
53;21.4;59;37;29;24;6;31;55;56.4;24;27;4;23;30;89;27;0
