Squad;# Pl;90s;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Lost;Blocks;Sh;Pass;Int;Tkl+Int;Clr;Err
América;30;24.0;376;219;157;170;49;171;370;46.2;199;244;76;168;203;579;342;2
Atlas;29;23.0;353;205;161;147;45;166;353;47.0;187;219;86;133;227;580;385;6
Atlético;30;24.0;361;211;178;155;28;174;338;51.5;164;248;96;152;213;574;548;2
Cruz Azul;31;22.0;337;196;156;156;25;162;333;48.6;171;224;61;163;188;525;373;8
FC Juárez;34;24.0;380;228;203;140;37;195;369;52.8;174;221;72;149;238;618;371;2
Guadalajara;30;23.0;383;239;177;176;30;171;333;51.4;162;224;60;164;205;588;428;5
León;30;23.0;392;230;197;158;37;207;406;51.0;199;237;59;178;217;609;385;3
Mazatlán;31;22.0;289;173;127;133;29;128;305;42.0;177;217;84;133;242;531;430;6
Monterrey;30;23.0;376;244;182;169;25;188;343;54.8;155;196;49;147;260;636;407;3
Necaxa;29;23.0;414;240;211;165;38;196;422;46.4;226;265;85;180;253;667;497;2
Pachuca;26;23.0;401;243;190;168;43;174;369;47.2;195;232;43;189;245;646;321;2
Puebla;33;24.0;421;235;216;177;28;202;393;51.4;191;249;97;152;228;649;503;1
Querétaro;36;22.0;337;201;187;134;16;142;320;44.4;178;191;80;111;236;573;408;10
Santos;30;23.0;336;194;155;140;41;144;328;43.9;184;241;94;147;261;597;513;5
Tijuana;33;23.0;472;283;211;212;49;205;381;53.8;176;217;64;153;296;768;459;4
Toluca;30;23.0;358;203;172;151;35;152;321;47.4;169;217;79;138;183;541;431;6
UANL;29;24.0;443;275;180;199;64;197;398;49.5;201;244;68;176;222;665;328;1
UNAM;31;23.0;435;256;179;211;45;236;421;56.1;185;226;65;161;241;676;364;3
