Rk;90s;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Ast;xAG;xA;A-xAG;KP;1/3;PPA;CrsPA;PrgP
1;20.9;672;922;72.9;13640;5527;253;289;87.5;297;369;80.5;116;228;50.9;1;0.7;1.5;+0.3;12;62;15;9;81
2;6.5;240;307;78.2;4352;1135;113;128;88.3;98;117;83.8;28;44;63.6;2;0.6;0.8;+1.4;12;26;11;3;32
3;10.0;270;346;78.0;5820;2558;73;77;94.8;159;178;89.3;38;82;46.3;0;0.0;0.1;0.0;0;11;1;0;15
4;33.0;642;950;67.6;20557;15968;110;111;99.1;248;253;98.0;277;577;48.0;0;0.0;0.1;0.0;1;18;0;0;0
5;11.2;417;525;79.4;8106;3574;146;177;82.5;213;242;88.0;52;81;64.2;1;0.7;0.5;+0.3;8;58;3;0;46
6;9.0;168;267;62.9;5751;4432;21;21;100.0;75;76;98.7;70;167;41.9;0;0.0;0.0;0.0;1;7;2;0;0
7;2.4;89;122;73.0;1685;619;27;31;87.1;51;66;77.3;8;20;40.0;0;0.0;0.0;0.0;1;10;0;0;7
8;7.9;285;367;77.7;4925;1829;143;166;86.1;112;141;79.4;26;41;63.4;0;0.1;0.3;-0.1;6;18;2;1;20
9;0.5;16;18;88.9;243;79;10;10;100.0;4;5;80.0;1;1;100.0;0;0.0;0.0;0.0;0;0;0;0;0
10;11.5;455;548;83.0;9860;3232;141;149;94.6;232;265;87.5;80;123;65.0;0;0.1;0.3;-0.1;2;41;0;0;40
11;12.7;156;224;69.6;2111;412;107;134;79.9;36;52;69.2;8;13;61.5;1;0.5;0.5;+0.5;10;15;5;0;18
12;15.6;518;683;75.8;9559;4119;248;282;87.9;200;264;75.8;67;121;55.4;2;1.9;1.7;+0.1;17;41;21;14;47
13;15.8;632;783;80.7;13070;5290;201;223;90.1;332;380;87.4;96;168;57.1;1;0.8;0.1;+0.2;3;47;0;0;45
14;22.3;275;417;65.9;4152;1235;150;192;78.1;92;139;66.2;20;41;48.8;4;3.8;2.3;+0.2;27;30;15;4;37
15;4.6;143;198;72.2;2275;706;83;97;85.6;44;62;71.0;13;24;54.2;1;0.9;0.5;+0.1;8;10;6;1;20
16;8.6;106;150;70.7;1510;206;64;88;72.7;35;44;79.5;4;8;50.0;2;0.6;0.3;+1.4;7;10;4;0;13
17;1.4;40;55;72.7;642;211;24;28;85.7;13;19;68.4;3;6;50.0;0;0.2;0.3;-0.2;3;1;4;1;6
18;19.1;793;962;82.4;16721;6826;235;264;89.0;425;480;88.5;127;195;65.1;0;0.0;0.1;0.0;1;41;0;0;49
19;29.2;1364;1753;77.8;24961;10961;565;615;91.9;640;777;82.4;137;284;48.2;3;1.8;2.3;+1.2;27;173;33;22;208
20;17.0;364;532;68.4;12835;10245;38;38;100.0;153;156;98.1;170;334;50.9;0;0.0;0.0;0.0;0;15;0;0;0
21;2.0;33;50;66.0;1303;1157;4;4;100.0;13;13;100.0;16;33;48.5;0;0.0;0.0;0.0;0;1;0;0;0
22;16.0;515;711;72.4;10539;4527;178;209;85.2;246;317;77.6;86;162;53.1;2;0.8;0.7;+1.2;11;55;6;3;47
23;1.6;57;77;74.0;1102;403;22;23;95.7;23;34;67.6;10;17;58.8;0;0.2;0.1;-0.2;4;4;2;1;4
24;15.0;655;839;78.1;12396;5000;282;315;89.5;272;327;83.2;88;148;59.5;0;0.2;0.4;-0.2;5;76;11;7;76
25;1.4;78;89;87.6;1225;428;37;40;92.5;36;42;85.7;4;5;80.0;0;0.0;0.0;0.0;0;8;0;0;13
26;3.1;129;180;71.7;2289;746;68;79;86.1;43;59;72.9;15;28;53.6;0;0.2;0.3;-0.2;4;9;6;4;11
27;12.4;497;625;79.5;10061;4255;170;190;89.5;261;301;86.7;65;121;53.7;1;1.1;0.2;-0.1;7;45;1;0;45
28;0.2;5;5;100.0;61;19;4;4;100.0;1;1;100.0;0;0;;0;0.0;0.0;0.0;0;1;0;0;0
29;10.3;270;384;70.3;4895;2387;117;139;84.2;119;156;76.3;31;62;50.0;0;0.7;0.9;-0.7;4;34;3;2;32
30;1.0;12;16;75.0;141;23;6;8;75.0;4;6;66.7;0;0;;0;0.0;0.0;0.0;0;0;0;0;1
31;7.9;131;189;69.3;1873;432;81;108;75.0;38;50;76.0;5;9;55.6;1;1.3;0.9;-0.3;9;7;6;0;18
32;26.8;892;1143;78.0;14800;4486;469;544;86.2;319;383;83.3;83;152;54.6;3;3.2;4.2;-0.2;47;119;30;5;143
33;5.2;193;233;82.8;3669;1616;70;78;89.7;104;114;91.2;17;35;48.6;0;0.0;0.0;0.0;1;6;0;0;7
34;5.3;182;233;78.1;3767;1051;73;85;85.9;81;103;78.6;28;42;66.7;1;1.2;0.5;-0.2;9;16;1;1;23
35;31.4;1315;1709;76.9;22440;9165;626;714;87.7;559;682;82.0;107;223;48.0;6;4.3;3.9;+1.7;46;126;34;16;146
36;3.1;86;107;80.4;1156;234;55;63;87.3;25;32;78.1;4;7;57.1;0;0.1;0.5;-0.1;4;7;4;0;10
37;3.7;105;136;77.2;1631;502;63;74;85.1;24;29;82.8;13;20;65.0;2;0.6;0.5;+1.4;9;11;3;2;14
38;12.5;573;746;76.8;10813;4434;247;275;89.8;232;272;85.3;85;166;51.2;5;2.8;3.4;+2.2;43;76;26;7;99
39;23.6;911;1080;84.4;17891;5446;323;367;88.0;451;497;90.7;131;185;70.8;0;0.4;0.3;-0.4;6;68;2;0;56
40;25.0;683;940;72.7;20041;15063;115;115;100.0;338;349;96.8;230;475;48.4;0;0.3;0.3;-0.3;3;20;2;0;1
41;0.7;27;30;90.0;515;149;9;9;100.0;15;16;93.8;3;4;75.0;0;0.0;0.0;0.0;0;1;1;0;5
42;1.4;54;62;87.1;1130;404;22;23;95.7;22;28;78.6;10;11;90.9;0;0.0;0.0;0.0;0;7;0;0;4
43;23.0;1465;1670;87.7;25195;8077;678;735;92.2;646;717;90.1;117;162;72.2;2;2.0;2.7;0.0;23;114;20;6;136
44;0.3;16;19;84.2;259;103;10;12;83.3;5;6;83.3;1;1;100.0;1;0.1;0.0;+0.9;1;2;0;0;1
45;1.7;96;107;89.7;1475;452;57;60;95.0;30;31;96.8;7;10;70.0;0;0.1;0.2;-0.1;3;10;0;0;15
46;2.3;;;;;;;;;;;;;;;0;;;;;;;;
47;5.6;161;214;75.2;2697;727;77;85;90.6;68;87;78.2;14;30;46.7;2;1.3;1.9;+0.7;15;7;17;13;19
48;0.5;23;31;74.2;351;128;14;14;100.0;8;10;80.0;1;7;14.3;0;0.0;0.0;0.0;1;2;1;0;5
49;12.9;463;669;69.2;7570;3415;225;267;84.3;200;273;73.3;29;78;37.2;1;1.3;0.6;-0.3;7;37;8;5;47
50;17.0;342;467;73.2;10113;7614;66;66;100.0;143;144;99.3;131;254;51.6;0;0.1;0.0;-0.1;2;7;0;0;0
51;8.0;170;230;73.9;6136;5047;22;22;100.0;68;69;98.6;79;138;57.2;0;0.0;0.0;0.0;1;8;0;0;0
52;28.9;625;828;75.5;9434;2540;368;428;86.0;207;274;75.5;34;66;51.5;4;3.3;4.4;+0.7;38;44;47;21;90
53;21.4;1024;1247;82.1;16526;5903;557;612;91.0;355;432;82.2;77;133;57.9;2;1.4;1.4;+0.6;20;94;19;9;123
54;9.3;616;685;89.9;10472;3334;282;306;92.2;278;301;92.4;47;58;81.0;1;1.2;1.3;-0.2;10;58;2;0;63
55;5.3;73;110;66.4;961;261;42;51;82.4;25;39;64.1;1;5;20.0;2;1.1;0.7;+0.9;7;6;4;0;10
56;10.4;224;310;72.3;3942;1158;94;113;83.2;90;114;78.9;27;49;55.1;1;0.9;0.9;+0.1;12;23;6;4;32
57;16.2;549;700;78.4;8491;2032;312;369;84.6;190;238;79.8;31;51;60.8;4;2.6;2.4;+1.4;26;36;18;6;48
58;14.6;285;414;68.8;4631;1468;151;181;83.4;98;134;73.1;26;56;46.4;3;2.7;2.3;+0.3;15;15;14;6;43
59;20.1;760;909;83.6;16441;5807;226;252;89.7;383;424;90.3;145;210;69.0;1;0.9;0.6;+0.1;2;50;8;0;66
60;4.9;90;107;84.1;1408;294;55;58;94.8;23;25;92.0;10;15;66.7;0;0.0;0.1;0.0;0;8;0;0;6
61;1.3;36;50;72.0;571;208;17;22;77.3;12;15;80.0;5;8;62.5;1;0.4;0.0;+0.6;3;4;1;0;6
