Squad;# Pl;90s;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Ast;xAG;xA;A-xAG;KP;1/3;PPA;CrsPA;PrgP
América;31;34.0;14408;17637;81.7;267985;97747;6306;7002;90.1;6048;6975;86.7;1809;2951;61.3;53;42.0;44.8;+11.0;419;1451;372;90;1697
Atlas;30;34.0;11930;15540;76.8;238885;94172;4629;5304;87.3;5229;6165;84.8;1860;3366;55.3;26;31.1;28.4;-5.1;328;1111;224;66;1188
Atlético;33;34.0;9962;13395;74.4;190664;77426;4104;4792;85.6;4209;5183;81.2;1403;2722;51.5;20;24.0;24.1;-4.0;279;926;199;74;1068
Cruz Azul;31;34.0;11653;14977;77.8;223134;86631;4683;5349;87.5;5293;6228;85.0;1465;2675;54.8;32;27.8;30.7;+4.2;309;900;262;91;1201
FC Juárez;36;34.0;11587;14925;77.6;228129;87290;4421;5097;86.7;5188;6126;84.7;1718;2953;58.2;21;21.8;24.9;-0.8;275;1007;181;74;1237
Guadalajara;31;34.0;11305;14663;77.1;211965;81098;4809;5522;87.1;4822;5766;83.6;1442;2668;54.0;31;29.8;29.3;+1.2;352;1076;239;71;1287
León;30;34.0;11863;15039;78.9;224170;88227;4993;5669;88.1;5097;5996;85.0;1533;2658;57.7;33;33.8;31.4;-0.8;361;965;289;88;1254
Mazatlán;31;34.0;10983;14355;76.5;210120;83227;4342;5051;86.0;4977;5932;83.9;1436;2629;54.6;21;21.9;22.8;-0.9;296;949;182;74;1133
Monterrey;32;34.0;11198;14618;76.6;211132;87890;4719;5462;86.4;4903;5843;83.9;1377;2599;53.0;48;40.6;33.7;+7.4;425;976;273;90;1210
Necaxa;32;34.0;10067;13698;73.5;209205;86741;3506;4168;84.1;4686;5742;81.6;1699;3080;55.2;22;21.5;23.3;+0.5;314;907;221;98;1073
Pachuca;29;34.0;12705;16321;77.8;238643;93473;5219;6007;86.9;5632;6641;84.8;1568;2778;56.4;39;35.4;30.3;+3.6;452;1140;245;86;1427
Puebla;36;34.0;11442;14665;78.0;217109;85375;4910;5602;87.6;4835;5669;85.3;1486;2731;54.4;41;30.1;28.2;+10.9;349;925;219;83;1107
Querétaro;38;34.0;10242;13841;74.0;214517;88103;3724;4423;84.2;4602;5543;83.0;1773;3172;55.9;24;26.2;25.5;-2.2;319;907;206;94;1061
Santos;32;34.0;10527;13825;76.1;201047;84186;4608;5273;87.4;4216;5056;83.4;1490;2751;54.2;37;30.4;25.7;+6.6;361;982;237;54;1230
Tijuana;34;34.0;10708;14572;73.5;200338;85970;4557;5455;83.5;4489;5600;80.2;1397;2675;52.2;17;26.6;28.7;-9.6;324;973;230;82;1326
Toluca;33;34.0;15911;18942;84.0;298389;102547;6642;7336;90.5;6997;7829;89.4;1942;2973;65.3;42;34.5;38.3;+7.5;357;1178;301;61;1371
UANL;36;34.0;13926;17333;80.3;255093;94580;5946;6658;89.3;6035;7041;85.7;1609;2767;58.1;32;34.9;36.5;-2.9;402;1225;284;110;1546
UNAM;34;34.0;10840;14153;76.6;212699;86784;4198;4896;85.7;4896;5819;84.1;1561;2815;55.5;34;32.5;27.9;+1.5;383;966;201;59;1162
