Rk;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;FK;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG
1;20.9;0;9;2;22.2;0.43;0.10;0.00;0.00;22.3;0;0;0;0.3;0.3;0.04;-0.3;-0.3
2;6.5;1;3;1;33.3;0.46;0.15;0.33;1.00;23.4;0;0;0;0.4;0.4;0.13;+0.6;+0.6
3;10.0;0;3;0;0.0;0.30;0.00;0.00;;12.7;0;0;0;0.2;0.2;0.05;-0.2;-0.2
4;33.0;1;1;1;100.0;0.03;0.03;1.00;1.00;5.6;0;0;0;0.1;0.1;0.09;+0.9;+0.9
5;11.2;2;9;5;55.6;0.80;0.45;0.22;0.40;14.0;0;0;0;0.9;0.9;0.10;+1.1;+1.1
6;9.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0
7;2.4;0;3;1;33.3;1.25;0.42;0.00;0.00;17.8;0;0;0;0.2;0.2;0.06;-0.2;-0.2
8;7.9;0;8;1;12.5;1.01;0.13;0.00;0.00;24.7;1;0;0;0.4;0.4;0.05;-0.4;-0.4
9;0.5;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0
10;11.5;0;7;0;0.0;0.61;0.00;0.00;;19.0;1;0;0;0.4;0.4;0.06;-0.4;-0.4
11;12.7;3;16;7;43.8;1.26;0.55;0.13;0.29;13.9;0;1;1;2.2;1.4;0.09;+0.8;+0.6
12;15.6;1;10;4;40.0;0.64;0.26;0.10;0.25;20.3;0;0;0;1.1;1.1;0.11;-0.1;-0.1
13;15.8;1;14;2;14.3;0.89;0.13;0.07;0.50;10.1;0;0;0;1.0;1.0;0.07;0.0;0.0
14;22.3;8;67;18;26.9;3.00;0.81;0.10;0.39;18.6;1;1;2;9.3;7.7;0.12;-1.3;-0.7
15;4.6;0;12;2;16.7;2.59;0.43;0.00;0.00;27.0;1;0;0;0.4;0.4;0.04;-0.4;-0.4
16;8.6;2;12;3;25.0;1.40;0.35;0.17;0.67;10.4;0;0;0;2.5;2.5;0.21;-0.5;-0.5
17;1.4;0;1;0;0.0;0.72;0.00;0.00;;25.3;0;0;0;0.0;0.0;0.02;0.0;0.0
18;19.1;3;16;6;37.5;0.84;0.31;0.19;0.50;21.7;3;0;0;0.9;0.9;0.06;+2.1;+2.1
19;29.2;1;16;3;18.8;0.55;0.10;0.06;0.33;24.8;0;0;0;0.6;0.6;0.04;+0.4;+0.4
20;17.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0
21;2.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0
22;16.0;1;7;3;42.9;0.44;0.19;0.14;0.33;28.7;4;0;0;0.3;0.3;0.04;+0.7;+0.7
23;1.6;0;1;0;0.0;0.62;0.00;0.00;;8.8;0;0;0;0.1;0.1;0.08;-0.1;-0.1
24;15.0;0;13;2;15.4;0.87;0.13;0.00;0.00;28.2;0;0;0;0.3;0.3;0.03;-0.3;-0.3
25;1.4;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0
26;3.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0
27;12.4;1;8;2;25.0;0.65;0.16;0.13;0.50;12.7;0;0;0;0.6;0.6;0.07;+0.4;+0.4
28;0.2;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0
29;10.3;0;9;4;44.4;0.87;0.39;0.00;0.00;26.1;3;0;0;0.4;0.4;0.04;-0.4;-0.4
30;1.0;2;4;3;75.0;3.91;2.93;0.50;0.67;14.6;0;0;0;0.6;0.6;0.16;+1.4;+1.4
31;7.9;3;26;9;34.6;3.29;1.14;0.12;0.33;16.4;0;0;0;2.8;2.8;0.11;+0.2;+0.2
32;26.8;3;52;16;30.8;1.94;0.60;0.06;0.19;18.7;2;0;0;4.1;4.1;0.08;-1.1;-1.1
33;5.2;0;2;0;0.0;0.39;0.00;0.00;;11.4;0;0;0;0.1;0.1;0.06;-0.1;-0.1
34;5.3;0;1;0;0.0;0.19;0.00;0.00;;25.7;0;0;0;0.0;0.0;0.02;0.0;0.0
35;31.4;3;30;6;20.0;0.96;0.19;0.10;0.50;21.7;0;0;0;2.2;2.2;0.07;+0.8;+0.8
36;3.1;1;8;5;62.5;2.58;1.61;0.13;0.20;19.5;0;0;0;0.4;0.4;0.05;+0.6;+0.6
37;3.7;0;5;1;20.0;1.36;0.27;0.00;0.00;27.4;0;0;0;0.2;0.2;0.04;-0.2;-0.2
38;12.5;0;14;2;14.3;1.12;0.16;0.00;0.00;28.1;5;0;0;0.7;0.7;0.05;-0.7;-0.7
39;23.6;3;25;11;44.0;1.06;0.47;0.12;0.27;21.8;0;0;0;2.1;2.1;0.09;+0.9;+0.9
