Squad;# Pl;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;FK;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG
América;30;24.0;54;397;128;32.2;16.54;5.33;0.13;0.39;18.8;23;4;5;41.2;37.2;0.10;+12.8;+12.8
Atlas;29;23.0;25;289;80;27.7;12.57;3.48;0.08;0.28;19.3;12;3;4;29.6;26.4;0.09;-4.6;-4.4
Atlético;30;24.0;19;227;73;32.2;9.46;3.04;0.07;0.22;20.2;12;3;4;21.7;18.6;0.08;-2.7;-2.6
Cruz Azul;31;22.0;29;259;74;28.6;11.77;3.36;0.09;0.32;18.6;13;5;6;25.4;20.7;0.08;+3.6;+3.3
FC Juárez;34;24.0;29;291;78;26.8;12.12;3.25;0.09;0.35;20.0;19;2;4;24.4;21.2;0.07;+4.6;+5.8
Guadalajara;30;23.0;23;321;99;30.8;13.96;4.30;0.06;0.20;20.1;23;3;6;30.2;25.4;0.08;-7.2;-5.4
León;30;23.0;31;309;96;31.1;13.43;4.17;0.09;0.30;17.8;16;2;2;29.5;27.9;0.09;+1.5;+1.1
Mazatlán;31;22.0;20;266;75;28.2;12.09;3.41;0.07;0.25;20.2;13;1;2;20.8;19.2;0.08;-0.8;-0.2
Monterrey;30;23.0;40;369;126;34.1;16.04;5.48;0.10;0.29;19.5;11;3;5;36.2;32.3;0.09;+3.8;+4.7
Necaxa;29;23.0;25;279;84;30.1;12.13;3.65;0.08;0.27;19.3;6;2;3;22.2;19.9;0.07;+2.8;+3.1
Pachuca;26;23.0;41;407;144;35.4;17.70;6.26;0.09;0.26;21.0;25;3;4;33.5;30.4;0.08;+7.5;+7.6
Puebla;33;24.0;33;299;103;34.4;12.46;4.29;0.11;0.31;19.1;11;1;1;25.6;24.9;0.09;+7.4;+7.1
Querétaro;36;22.0;21;275;88;32.0;12.50;4.00;0.07;0.20;20.0;16;3;5;24.4;20.5;0.08;-3.4;-2.5
Santos;30;23.0;48;359;135;37.6;15.61;5.87;0.11;0.30;19.7;28;7;7;34.1;28.7;0.08;+13.9;+12.3
Tijuana;33;23.0;18;300;85;28.3;13.04;3.70;0.05;0.18;19.3;5;3;5;25.0;21.1;0.07;-7.0;-6.1
Toluca;30;23.0;35;323;129;39.9;14.04;5.61;0.09;0.22;19.5;24;6;6;32.4;28.0;0.09;+2.6;+1.0
UANL;29;24.0;36;384;124;32.3;16.00;5.17;0.09;0.28;19.0;23;1;1;32.5;31.7;0.08;+3.5;+3.3
UNAM;31;23.0;31;354;125;35.3;15.39;5.43;0.08;0.22;19.5;16;3;4;31.4;28.5;0.08;-0.4;-0.5
