Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG
1;José Abella;mx MEX;DF;Atlas;29-082;1994;28;22;1885;20.9;0;1;1;0;0;0;4;0;0.3;0.3;0.7;1.1;16;81;70;0.00;0.05;0.05;0.00;0.05;0.02;0.04;0.05;0.02;0.05
2;Clifford Aboagye;gh GHA;MF;Querétaro;28-081;1995;21;3;583;6.5;1;2;3;1;0;0;1;0;0.4;0.4;0.6;1.0;14;32;28;0.15;0.31;0.46;0.15;0.46;0.06;0.09;0.15;0.06;0.15
3;Luis Abram;pe PER;DF;Cruz Azul;27-065;1996;12;10;902;10.0;0;0;0;0;0;0;1;0;0.2;0.2;0.0;0.2;4;15;5;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.02;0.02;0.02
4;Carlos Acevedo;mx MEX;GK;Santos;27-014;1996;33;33;2970;33.0;1;0;1;1;0;0;1;0;0.1;0.1;0.0;0.1;0;0;0;0.03;0.00;0.03;0.03;0.03;0.00;0.00;0.00;0.00;0.00
5;Sergio Adrián Flores;mx MEX;MF;Guadalajara;28-080;1995;18;11;1009;11.2;2;1;3;2;0;0;2;0;0.9;0.9;0.7;1.6;1;46;9;0.18;0.09;0.27;0.18;0.27;0.08;0.07;0.14;0.08;0.14
6;Washington Aguerre;uy URU;GK;Querétaro;30-010;1993;9;9;810;9.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
7;Eduardo Águila;mx MEX;DF;Atlético;20-351;2002;5;2;216;2.4;0;0;0;0;0;0;0;0;0.2;0.2;0.0;0.2;0;7;1;0.00;0.00;0.00;0.00;0.00;0.08;0.01;0.08;0.08;0.08
8;Daniel Aguilar;mx MEX;DFMF;Puebla;25-086;1998;17;6;710;7.9;0;0;0;0;0;0;4;0;0.4;0.4;0.1;0.6;11;20;21;0.00;0.00;0.00;0.00;0.00;0.05;0.02;0.07;0.05;0.07
9;Manuel Aguilar;mx MEX;DF;UANL;20-095;2003;1;0;45;0.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10;Emanuel Aguilera;ar ARG;DF;Atlas;33-326;1989;15;12;1033;11.5;0;0;0;0;0;0;3;0;0.4;0.4;0.1;0.5;5;40;4;0.00;0.00;0.00;0.00;0.00;0.04;0.01;0.05;0.04;0.05
11;Eduardo Aguirre;mx MEX;FW;Santos;24-273;1998;19;15;1145;12.7;3;1;4;2;1;1;0;1;2.2;1.4;0.5;1.9;15;18;64;0.24;0.08;0.31;0.16;0.24;0.17;0.04;0.21;0.11;0.15
12;Érick Aguirre;mx MEX;DF;Monterrey;26-069;1997;22;17;1400;15.6;1;2;3;1;0;0;3;0;1.1;1.1;1.9;3.0;23;47;56;0.06;0.13;0.19;0.06;0.19;0.07;0.12;0.19;0.07;0.19
13;Gaddi Aguirre;mx MEX;DF;Atlas;27-033;1996;20;15;1419;15.8;1;1;2;1;0;0;2;0;1.0;1.0;0.8;1.8;0;45;2;0.06;0.06;0.13;0.06;0.13;0.07;0.05;0.12;0.07;0.12
14;Rodrigo Aguirre;uy URU;FWMF;Monterrey;28-214;1994;30;22;2010;22.3;8;4;12;7;1;2;4;0;9.3;7.7;3.8;11.5;31;37;128;0.36;0.18;0.54;0.31;0.49;0.42;0.17;0.59;0.35;0.52
15;Manuel Agustín Duarte;ar ARG;MF;Querétaro;21-253;2001;10;4;417;4.6;0;1;1;0;0;0;1;0;0.4;0.4;0.9;1.3;7;20;14;0.00;0.22;0.22;0.00;0.22;0.10;0.19;0.29;0.10;0.29
16;Arnaud Ake;ci CIV;FW;Mazatlán;25-032;1998;12;8;771;8.6;2;2;4;2;0;0;1;0;2.5;2.5;0.6;3.1;14;13;49;0.23;0.23;0.47;0.23;0.47;0.29;0.07;0.36;0.29;0.36
17;Edgar Alaffita;mx MEX;MF;UNAM;26-197;1996;2;2;125;1.4;0;0;0;0;0;0;0;0;0.0;0.0;0.2;0.2;2;6;8;0.00;0.00;0.00;0.00;0.00;0.02;0.14;0.16;0.02;0.16
18;Oswaldo Alanís;mx MEX;DF;Mazatlán;34-046;1989;22;19;1723;19.1;3;0;3;3;0;0;1;0;0.9;0.9;0.0;0.9;6;49;2;0.16;0.00;0.16;0.16;0.16;0.05;0.00;0.05;0.05;0.05
19;Jesús Alberto Angulo;mx MEX;DF;UANL;25-093;1998;32;30;2632;29.2;1;3;4;1;0;0;7;1;0.6;0.6;1.8;2.5;54;208;68;0.03;0.10;0.14;0.03;0.14;0.02;0.06;0.08;0.02;0.08
20;Gil Alcalá;mx MEX;GK;Querétaro;30-278;1992;17;17;1530;17.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
21;Gil Alcalá;mx MEX;GK;UNAM;30-278;1992;2;2;180;2.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
22;Adrián Aldrete;mx MEX;DF;UNAM;34-323;1988;18;18;1437;16.0;1;2;3;1;0;0;3;1;0.3;0.3;0.8;1.1;8;47;29;0.06;0.13;0.19;0.06;0.19;0.02;0.05;0.07;0.02;0.07
23;Daniel Alexis Parra;mx MEX;DFMF;Necaxa;23-287;1999;5;1;145;1.6;0;0;0;0;0;0;0;0;0.1;0.1;0.2;0.3;2;4;3;0.00;0.00;0.00;0.00;0.00;0.05;0.11;0.16;0.05;0.16
24;Luis Alfonso Rodríguez;mx MEX;DFMF;FC Juárez;32-102;1991;16;16;1346;15.0;0;0;0;0;0;0;7;0;0.3;0.3;0.2;0.5;29;76;38;0.00;0.00;0.00;0.00;0.00;0.02;0.01;0.04;0.02;0.04
25;Luis Alfonso Rodríguez;mx MEX;DF;UANL;32-102;1991;3;0;125;1.4;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;13;10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26;David Alfredo Andrade;mx MEX;MFDF;Atlético;29-298;1993;10;1;276;3.1;0;0;0;0;0;0;2;0;0.0;0.0;0.2;0.2;14;11;27;0.00;0.00;0.00;0.00;0.00;0.00;0.07;0.07;0.00;0.07
27;Facundo Almada;ar ARG;DF;Mazatlán;24-297;1998;14;12;1116;12.4;1;1;2;1;0;0;4;0;0.6;0.6;1.1;1.7;8;45;5;0.08;0.08;0.16;0.08;0.16;0.05;0.09;0.14;0.05;0.14
28;Carlos Alonso Vargas;mx MEX;DF;Cruz Azul;24-078;1999;1;1;15;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
29;Carlos Alonso Vargas;mx MEX;DF;Mazatlán;24-078;1999;13;12;930;10.3;0;0;0;0;0;0;6;1;0.4;0.4;0.7;1.0;17;32;18;0.00;0.00;0.00;0.00;0.00;0.04;0.06;0.10;0.04;0.10
30;Jozy Altidore;us USA;FWMF;Puebla;33-178;1989;6;0;92;1.0;2;0;2;2;0;0;1;0;0.6;0.6;0.0;0.6;0;1;9;1.96;0.00;1.96;1.96;1.96;0.62;0.00;0.62;0.62;0.62
31;Alfonso Alvarado;mx MEX;FWMF;León;23-051;2000;26;6;711;7.9;3;1;4;3;0;0;1;0;2.8;2.8;1.3;4.1;12;18;35;0.38;0.13;0.51;0.38;0.51;0.35;0.16;0.52;0.35;0.52
32;Roberto Alvarado;mx MEX;MFFW;Guadalajara;24-238;1998;32;27;2415;26.8;3;3;6;3;0;0;5;0;4.1;4.1;3.2;7.3;81;143;141;0.11;0.11;0.22;0.11;0.22;0.15;0.12;0.27;0.15;0.27
33;Ventura Alvarado;us USA;DF;FC Juárez;30-260;1992;10;5;466;5.2;0;0;0;0;0;0;2;0;0.1;0.1;0.0;0.1;0;7;0;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.03;0.02;0.03
34;Alek Álvarez;mx MEX;DFMF;UNAM;20-031;2003;12;3;477;5.3;0;1;1;0;0;0;0;0;0.0;0.0;1.2;1.2;15;23;13;0.00;0.19;0.19;0.00;0.19;0.00;0.23;0.23;0.00;0.23
35;Kevin Álvarez;mx MEX;DF;Pachuca;24-108;1999;32;32;2822;31.4;3;6;9;3;0;0;8;0;2.2;2.2;4.3;6.5;96;146;176;0.10;0.19;0.29;0.10;0.29;0.07;0.14;0.21;0.07;0.21
36;Daniel Álvarez López;mx MEX;FWMF;Toluca;28-285;1994;12;2;279;3.1;1;0;1;1;0;0;0;0;0.4;0.4;0.1;0.6;11;10;28;0.32;0.00;0.32;0.32;0.32;0.14;0.05;0.19;0.14;0.19
37;Daniel Álvarez López;mx MEX;MFDF;Puebla;28-285;1994;12;1;331;3.7;0;2;2;0;0;0;0;0;0.2;0.2;0.6;0.8;8;14;18;0.00;0.54;0.54;0.00;0.54;0.05;0.17;0.22;0.05;0.22
38;Dani Alves;br BRA;MFDF;UNAM;39-362;1983;13;12;1125;12.5;0;5;5;0;0;0;3;0;0.7;0.7;2.8;3.5;16;99;29;0.00;0.40;0.40;0.00;0.40;0.05;0.23;0.28;0.05;0.28
39;Fidel Ambríz;mx MEX;MFDF;León;20-043;2003;32;23;2123;23.6;3;0;3;3;0;0;4;1;2.1;2.1;0.4;2.6;18;56;20;0.13;0.00;0.13;0.13;0.13;0.09;0.02;0.11;0.09;0.11
40;Esteban Andrada;ar ARG;GK;Monterrey;32-097;1991;25;25;2249;25.0;0;0;0;0;0;0;2;1;0.0;0.0;0.3;0.3;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.00;0.01
41;Alejandro Andrade;mx MEX;MF;Necaxa;21-260;2001;1;1;66;0.7;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
42;Miguel Ángel Ponce;mx MEX;DFFW;Guadalajara;34-021;1989;5;1;125;1.4;0;0;0;0;0;0;2;1;0.0;0.0;0.0;0.0;2;4;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
43;Brayan Angulo;co COL;DF;Toluca;33-182;1989;29;24;2069;23.0;1;2;3;1;0;0;6;1;1.3;1.3;2.0;3.3;48;136;89;0.04;0.09;0.13;0.04;0.13;0.05;0.08;0.13;0.05;0.13
44;Jesús Angulo;mx MEX;DFMF;Guadalajara;26-072;1997;3;0;29;0.3;0;1;1;0;0;0;0;0;0.0;0.0;0.1;0.1;1;1;1;0.00;3.10;3.10;0.00;3.10;0.00;0.23;0.23;0.00;0.23
45;Jesús Angulo;mx MEX;MF;León;26-072;1997;7;1;156;1.7;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0.2;5;15;10;0.00;0.00;0.00;0.00;0.00;0.07;0.06;0.14;0.07;0.14
46;Brayan Angulo Mosquera;co COL;MF;Toluca;29-288;1993;3;2;211;2.3;0;0;0;0;0;0;0;0;;;;;;;;0.00;0.00;0.00;0.00;0.00;;;;;
47;Francisco Antonio Figueroa;mx MEX;FWMF;Pachuca;23-324;1999;10;6;503;5.6;0;2;2;0;0;0;1;0;0.6;0.6;1.3;1.9;44;19;76;0.00;0.36;0.36;0.00;0.36;0.11;0.23;0.34;0.11;0.34
48;Francisco Antonio Figueroa;mx MEX;MFFW;Querétaro;23-324;1999;4;0;49;0.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;5;8;0.00;0.00;0.00;0.00;0.00;0.00;0.06;0.06;0.00;0.06
49;Jorge Antonio Padilla;mx MEX;DF;Mazatlán;29-239;1993;19;12;1164;12.9;0;1;1;0;0;0;2;0;0.5;0.5;1.3;1.7;17;47;51;0.00;0.08;0.08;0.00;0.08;0.03;0.10;0.13;0.03;0.13
50;José Antonio Rodríguez;mx MEX;GK;Tijuana;30-303;1992;17;17;1530;17.0;0;0;0;0;0;0;2;0;0.0;0.0;0.1;0.1;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
51;José Antonio Rodríguez;mx MEX;GK;Querétaro;30-303;1992;8;8;720;8.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
52;Uriel Antuna;mx MEX;FWMF;Cruz Azul;25-255;1997;31;31;2601;28.9;8;4;12;8;0;0;5;0;4.4;4.4;3.3;7.7;76;90;245;0.28;0.14;0.42;0.28;0.42;0.15;0.11;0.27;0.15;0.27
53;Javier Aquino;mx MEX;DFFW;UANL;33-081;1990;25;22;1922;21.4;0;2;2;0;0;0;4;0;0.6;0.6;1.4;2.0;68;123;141;0.00;0.09;0.09;0.00;0.09;0.03;0.07;0.09;0.03;0.09
54;Pedro Aquino;pe PER;MF;América;28-020;1995;27;8;835;9.3;0;1;1;0;0;0;7;0;0.2;0.2;1.2;1.4;10;63;8;0.00;0.11;0.11;0.00;0.11;0.02;0.13;0.15;0.02;0.15
55;Cristian Arango;co COL;FWMF;Pachuca;28-055;1995;10;4;481;5.3;4;2;6;2;2;2;0;0;3.5;1.9;1.1;3.0;20;10;39;0.75;0.37;1.12;0.37;0.75;0.65;0.21;0.86;0.36;0.56
56;Ángelo Araos;cl CHI;MF;Necaxa;26-117;1997;18;14;937;10.4;1;1;2;1;0;0;4;0;0.9;0.9;0.9;1.8;17;32;46;0.10;0.10;0.19;0.10;0.19;0.09;0.08;0.17;0.09;0.17
57;Maximiliano Araújo;uy URU;MFDF;Toluca;23-077;2000;17;17;1454;16.2;6;4;10;6;0;0;4;0;4.4;4.4;2.6;6.9;73;48;153;0.37;0.25;0.62;0.37;0.62;0.27;0.16;0.43;0.27;0.43
58;Maximiliano Araújo;uy URU;MFDF;Puebla;23-077;2000;16;16;1316;14.6;1;3;4;1;0;0;4;1;2.2;2.2;2.7;4.9;49;43;108;0.07;0.21;0.27;0.07;0.27;0.15;0.18;0.33;0.15;0.33
59;Néstor Araujo;mx MEX;DF;América;31-247;1991;23;20;1805;20.1;0;1;1;0;0;0;4;0;0.8;0.8;0.9;1.7;28;66;1;0.00;0.05;0.05;0.00;0.05;0.04;0.05;0.09;0.04;0.09
60;Fernando Arce Jr.;us USA;MF;FC Juárez;26-157;1996;11;4;442;4.9;0;0;0;0;0;0;2;0;0.2;0.2;0.0;0.2;1;6;11;0.00;0.00;0.00;0.00;0.00;0.05;0.00;0.05;0.05;0.05
61;Fernando Arce Jr.;us USA;MF;Puebla;26-157;1996;5;1;116;1.3;0;1;1;0;0;0;2;0;0.1;0.1;0.4;0.5;2;6;4;0.00;0.78;0.78;0.00;0.78;0.07;0.30;0.37;0.07;0.37
62;Fernando Aristeguieta;ve VEN;FW;Puebla;31-024;1992;3;3;250;2.8;1;0;1;1;0;0;2;0;1.1;1.1;0.3;1.4;3;7;9;0.36;0.00;0.36;0.36;0.36;0.40;0.10;0.50;0.40;0.50
63;Rodrigo Armando González;mx MEX;DF;Atlético;28-021;1995;13;12;1091;12.1;0;0;0;0;0;0;3;0;0.0;0.0;0.0;0.1;3;13;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.01
64;Daniel Armando Ríos;mx MEX;FW;Guadalajara;28-070;1995;12;6;521;5.8;1;1;2;1;0;0;1;0;1.4;1.4;0.6;2.0;5;4;31;0.17;0.17;0.35;0.17;0.35;0.25;0.10;0.35;0.25;0.35
65;Eduardo Armenta;mx MEX;MF;Tijuana;21-138;2001;10;7;475;5.3;0;0;0;0;0;0;1;0;0.1;0.1;0.2;0.3;3;15;15;0.00;0.00;0.00;0.00;0.00;0.03;0.04;0.06;0.03;0.06
66;Alejandro Arribas;es ESP;DF;FC Juárez;34-002;1989;26;23;2068;23.0;0;0;0;0;0;0;3;1;0.8;0.8;0.5;1.3;8;45;3;0.00;0.00;0.00;0.00;0.00;0.04;0.02;0.06;0.04;0.06
67;José Ávila;mx MEX;MFDF;Santos;25-002;1998;6;0;74;0.8;0;1;1;0;0;0;0;0;0.0;0.0;0.2;0.2;1;6;7;0.00;1.22;1.22;0.00;1.22;0.03;0.23;0.26;0.03;0.26
68;David Ayala;mx MEX;MF;UANL;22-333;2000;3;0;16;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.12;0.00;0.12;0.12;0.12
69;Hugo Ayala;mx MEX;DFFW;UANL;36-033;1987;4;2;166;1.8;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;8;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
70;Ettson Ayon;mx MEX;FWMF;Querétaro;22-038;2001;20;7;708;7.9;4;0;4;4;0;0;2;0;2.8;2.8;0.4;3.2;8;6;43;0.51;0.00;0.51;0.51;0.51;0.36;0.06;0.42;0.36;0.42
71;Rafael Baca;mx MEX;MF;Cruz Azul;33-234;1989;21;9;1018;11.3;1;1;2;1;0;0;3;1;0.3;0.3;0.3;0.6;3;52;9;0.09;0.09;0.18;0.09;0.18;0.02;0.03;0.05;0.02;0.05
72;Claudio Baeza;cl CHI;MF;Toluca;29-131;1993;29;28;2223;24.7;0;2;2;0;0;0;9;1;0.1;0.1;0.3;0.4;14;115;14;0.00;0.08;0.08;0.00;0.08;0.01;0.01;0.02;0.01;0.02
73;Kevin Balanta;co COL;DF;Querétaro;26-005;1997;24;23;2007;22.3;0;0;0;0;0;0;5;1;0.2;0.2;0.4;0.6;11;68;2;0.00;0.00;0.00;0.00;0.00;0.01;0.02;0.03;0.01;0.03
74;Carlos Baltazar;mx MEX;MF;Puebla;26-068;1997;1;0;10;0.1;0;0;0;0;0;0;1;0;0.1;0.1;0.0;0.1;2;1;2;0.00;0.00;0.00;0.00;0.00;1.01;0.00;1.01;1.01;1.01
75;Miguel Barbieri;ar ARG;DF;Querétaro;29-252;1993;15;12;1106;12.3;2;0;2;2;0;0;5;0;1.2;1.2;0.0;1.2;2;28;3;0.16;0.00;0.16;0.16;0.16;0.10;0.00;0.10;0.10;0.10
76;David Barbona;ar ARG;MFFW;Querétaro;28-070;1995;10;8;569;6.3;0;0;0;0;0;0;2;0;0.8;0.8;1.1;1.9;21;37;34;0.00;0.00;0.00;0.00;0.00;0.13;0.18;0.31;0.13;0.31
77;Diego Barbosa;mx MEX;DF;Atlas;26-220;1996;25;10;1116;12.4;0;0;0;0;0;0;3;0;0.8;0.8;0.8;1.6;38;32;88;0.00;0.00;0.00;0.00;0.00;0.06;0.06;0.13;0.06;0.13
78;Marcelo Barovero;ar ARG;GK;Atlético;39-074;1984;33;33;2937;32.6;0;0;0;0;0;0;3;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
